35 198
35 282
38 231
39 219
40 167
40 223
41 172
42 315
43 177
43 247
43 341
44 169
44 197
44 290
45 264
45 309
46 231
46 249
46 311
47 243
47 275
48 229
48 256
48 274
49 149
49 188
50 200
50 233
50 243
51 298
51 299
51 305
52 204
52 212
52 230
52 255
53 203
53 282
54 188
54 206
54 239
54 266
54 283
54 286
55 205
55 217
55 289
55 327
55 353
56 184
56 249
56 256
56 283
56 288
56 409
57 131
57 229
57 232
57 236
57 241
57 261
57 274
57 276
57 289
57 335
58 216
58 218
58 224
58 225
58 230
58 234
58 259
58 270
58 284
58 300
58 318
58 319
59 176
59 177
59 204
59 218
59 239
59 249
59 273
59 288
59 326
60 185
60 206
60 230
60 253
60 258
60 258
60 282
60 293
61 166
61 203
61 207
61 234
61 260
61 307
61 330
62 164
62 244
62 263
62 267
62 268
62 281
62 294
63 187
63 197
63 254
63 269
63 330
63 407
64 212
64 246
64 309
64 335
65 225
65 248
65 254
65 282
66 212
66 228
66 246
67 212
67 229
67 237
67 254
67 286
67 299
68 193
68 274
69 254
70 174
70 269
70 322
77 304
